Trecho	Anel	L	D	q
R-1	0	324	300	7
1-2	1	123	200	2.15367
2-3	1	183	150	1.90867
3-12	1	225	200	-0.60667
12-11	1	177	100	-1.08967
11-10	1	168	150	-1.48167
10-9	1	153	150	-1.86667
9-1	1	165	200	-2.15367
1-2	2	123	200	-2.15367
2-3	2	183	150	-1.90867
5-4	2	102	150	0.58567
4-3	2	207	100	0.38267
5-6	2	201	200	1.27167
6-7	2	135	150	1.59367
7-8	2	228	150	1.81067
8-1	2	168	200	2.15367
3-13	3	255	150	-2.513
13-14	3	264	200	-1.939
14-15	3	132	150	-1.463
15-16	3	321	200	-0.644
16-17	3	105	100	-0.147
17-5	3	168	200	0.0000000001
5-4	3	102	150	-0.58567
4-3	3	207	100	-0.38267
